year,category,nominee,workers,winner
1963,Best Rock & Roll Recording,Alley Cat.,Bent Fabricius-Bjerre (artist),TRUE
1963,"Best Solo Vocal Performance, Female",Ella Swings Brightly With Nelson Riddle.,Ella Fitzgerald (artist),TRUE
1963,"Best Solo Vocal Performance, Male",I Left My Heart In San Francisco.,Tony Bennett (artist),TRUE
1963,Record of the Year,I Left My Heart In San Francisco.,Tony Bennett (artist),TRUE
1963,Song of the Year,What Kind Of Fool Am I.,"Leslie Bricusse (songwriter), Sammy Davis Jr. (artist), Anthony Newley (artist/songwriter)",TRUE
1964,Album of the Year (Other Than Classical),The Barbra Streisand Album.,Barbra Streisand (artist),TRUE
1964,Best Album Cover- Classical,Puccini: Madama Butterfly.,"Robert M. Jones (art director), Erich Leinsdorf (conductor)",TRUE
1964,Best Album Cover- Other Than Classical,The Barbra Streisand Album.,"Barbra Streisand (artist), John Berg (art director)",TRUE
1964,Best Album Notes,The Ellington Era.,"Duke Ellington (artist), Leonard Feather (album notes writer), Stanley Dance (album notes writer)",TRUE
1964,Best Background Arrangement (Behind Vocalist Or Instrumentalist),Days Of Wine And Roses.,Henry Mancini (artist/arranger),TRUE
1964,Best Classical Composition By A Contemporary Composer,Britten: War Requiem.,Benjamin Britten (composer),TRUE
1964,Best Classical Performance- Chamber Music,Evening Of Elizabethan Music.,Julian Bream (artist),TRUE
1964,Best Classical Performance- Choral (Other Than Opera),Britten: War Requiem.,"Highgate School Choir & London Symphony Choir (artists), The Bach Choir (artists), London Symphony Orchestra (artists)",TRUE
1964,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),The Sound Of Horowitz.,Vladimir Horowitz (artist),TRUE
1964,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Tchaikovsky: Piano Concerto No. 1 In B Flat Minor.,"Artur Rubinstein (artist), Boston Symphony Orchestra (artists)",TRUE
1964,Best Classical Performance- Orchestra,Bartók: Concerto For Orchestra.,Boston Symphony Orchestra (artists),TRUE
1964,Best Classical Performance- Vocal Soloist (With or Without Orchestra),Great Scenes From Gershwin's Porgy And Bess.,RCA Italiana Opera Orchestra (artists),TRUE
1964,Best Comedy Performance,"Hello Mudduh, Hello Faddah.",Allan Sherman (artist),TRUE
1964,Best Country & Western Recording,Detroit City.,Bobby Bare (artist),TRUE
